info,threshold,time,loglikelihood,ac,ag,at,cg,ct,gt
"1000M1,R3",0.5,0.058584,-950101.738,1.189669,3.347044,0.485813,1.087253,4.237536,1
"1000M1,R16",0.5,0.053146,-1018202.77,1.160898,3.217668,0.491256,1.070654,4.127178,1
"1000M1,R2",0.5,0.078385,-979473.0541,1.195278,3.40343,0.480651,1.119804,4.119149,1
"1000M1,R9",0.5,0.055297,-954555.2243,1.158487,3.280189,0.476749,1.121534,4.226231,1
"1000M1,R17",0.5,0.057903,-959657.7883,1.233014,3.410017,0.497261,1.090814,4.217951,1
"1000M1,R8",0.5,0.059342,-960065.3031,1.133306,3.242308,0.481057,1.11581,4.110072,1
"1000M1,R0",0.5,0.08823,-960555.6803,1.179371,3.311913,0.515927,1.104003,4.233276,1
"1000M1,R6",0.5,0.087872,-960383.6612,1.17602,3.336695,0.526011,1.101677,4.237982,1
"1000M1,R7",0.5,0.064566,-970672.2399,1.204635,3.373632,0.535811,1.123074,4.321744,1
"1000M1,R19",0.5,0.065973,-1001616.756,1.165638,3.366855,0.49934,1.130686,4.132712,1
"1000M1,R11",0.5,0.068673,-985937.3583,1.150479,3.231023,0.464869,1.110993,4.120489,1
"1000M1,R18",0.5,0.071227,-990942.0076,1.173043,3.234619,0.487627,1.121107,4.31127,1
"1000M1,R1",0.5,0.098711,-950822.7813,1.201883,3.375321,0.511945,1.121432,4.235542,1
"1000M1,R13",0.5,0.081502,-968407.1509,1.177808,3.294765,0.487824,1.110011,4.176696,1
"1000M1,R14",0.5,0.084683,-931092.6397,1.183847,3.342768,0.497325,1.077217,4.127874,1
"1000M1,R4",0.5,0.108944,-995141.6487,1.160418,3.252571,0.480239,1.073398,4.177317,1
"1000M1,R15",0.5,0.086227,-941887.0119,1.18335,3.393096,0.519019,1.088612,4.277144,1
"1000M1,R10",0.5,0.116554,-954672.9893,1.21024,3.342095,0.481928,1.15413,4.266965,1
"1000M1,R12",0.5,0.126515,-982585.7024,1.158696,3.335097,0.48956,1.143088,4.185839,1
"1000M1,R8",0.8,0.065164,-960066.9811,1.132832,3.238248,0.479931,1.115059,4.10498,1
"1000M1,R3",0.8,0.128499,-950105.8072,1.19523,3.358461,0.486853,1.092328,4.256847,1
"1000M1,R11",0.8,0.098187,-985931.2093,1.147305,3.220432,0.464981,1.106657,4.105508,1
"1000M1,R17",0.8,0.110608,-959672.8807,1.233913,3.409105,0.49927,1.090194,4.220801,1
"1000M1,R18",0.8,0.101984,-990944.8888,1.171721,3.235813,0.492442,1.118203,4.30325,1
"1000M1,R6",0.8,0.112648,-960388.1333,1.176447,3.340463,0.527245,1.096109,4.24595,1
"1000M1,R0",0.8,0.117136,-960562.7698,1.201037,3.377028,0.530957,1.132169,4.334311,1
"1000M1,R16",0.8,0.128081,-1018218.41,1.161038,3.216968,0.492429,1.071289,4.12545,1
"1000M1,R1",0.8,0.10826,-950822.3019,1.201797,3.351445,0.506576,1.109866,4.228498,1
"1000M1,R9",0.8,0.130727,-954542.3463,1.139577,3.225257,0.467798,1.094989,4.133177,1
"1000M1,R19",0.8,0.126562,-1001633.205,1.167366,3.375621,0.501255,1.134288,4.143412,1
"1000M1,R15",0.8,0.108349,-941879.0054,1.171535,3.35427,0.515174,1.071305,4.219477,1
"1000M1,R7",0.8,0.131739,-970653.0646,1.203633,3.360062,0.529419,1.114506,4.295058,1
"1000M1,R14",0.8,0.123619,-931091.5914,1.184402,3.342056,0.497941,1.077696,4.13172,1
"1000M1,R2",0.8,0.167829,-979450.2473,1.195228,3.401442,0.48037,1.119901,4.118818,1
"1000M1,R13",0.8,0.143503,-968390.3361,1.181122,3.302122,0.488784,1.113651,4.194666,1
"1000M1,R4",0.8,0.145033,-995142.0477,1.160673,3.257345,0.479052,1.07476,4.181806,1
"1000M1,R8",0.9,0.13441,-960062.2158,1.133966,3.242555,0.482113,1.118246,4.124414,1
"1000M1,R18",0.9,0.111724,-991010.1739,1.184937,3.277229,0.498296,1.141337,4.375575,1
"1000M1,R10",0.8,0.176344,-954673.6764,1.211778,3.345264,0.482064,1.153607,4.270607,1
"1000M1,R12",0.8,0.171631,-982584.5808,1.159926,3.344201,0.491646,1.147444,4.193844,1
"1000M1,R17",0.9,0.138729,-959669.1439,1.231927,3.401196,0.498475,1.088541,4.213734,1
"1000M1,R3",0.9,0.151696,-950108.4188,1.190864,3.342597,0.48719,1.083268,4.230051,1
"1000M1,R16",0.9,0.139524,-1018247.539,1.162739,3.219616,0.492404,1.072249,4.127753,1
"1000M1,R3",0.5,0.058584,-950101.738,1.189669,3.347044,0.485813,1.087253,4.237536,1
"1000M1,R3",0.8,0.128499,-950105.8072,1.19523,3.358461,0.486853,1.092328,4.256847,1
"1000M1,R3",0.9,0.151696,-950108.4188,1.190864,3.342597,0.48719,1.083268,4.230051,1
"1000M1,R19",0.9,0.128372,-1001640.418,1.163342,3.361969,0.499068,1.126368,4.12932,1
"1000M1,R6",0.9,0.153902,-960396.3237,1.191888,3.378009,0.532297,1.118999,4.303158,1
"1000M1,R9",0.9,0.14953,-954569.2316,1.137889,3.233814,0.46637,1.09294,4.146512,1
"1000M1,R1",0.9,0.155237,-950845.6597,1.20194,3.37285,0.512151,1.120788,4.232155,1
"1000M1,R11",0.9,0.186214,-985939.3323,1.14738,3.225117,0.463821,1.111884,4.120751,1
"1000M1,R15",0.9,0.160246,-941854.2253,1.178035,3.360192,0.51498,1.078418,4.242107,1
"1000M1,R0",0.9,0.199058,-960592.4444,1.189928,3.340282,0.521239,1.117903,4.276852,1
"1000M1,R14",0.9,0.186152,-931094.6014,1.184475,3.34059,0.496408,1.076545,4.127584,1
"1000M1,R7",0.9,0.196774,-970669.2952,1.204237,3.358968,0.528741,1.117993,4.28959,1
"1000M1,R12",0.9,0.105919,-982591.1981,1.156538,3.331101,0.488951,1.140683,4.177417,1
"1000M1,R2",0.9,0.189832,-979456.5115,1.194358,3.4027,0.483025,1.118603,4.117002,1
"1000M1,R13",0.9,0.199277,-968396.1024,1.175931,3.28512,0.485606,1.105268,4.167817,1
"1000M1,R4",0.9,0.202194,-995137.9848,1.162102,3.260452,0.480966,1.075686,4.190922,1
"1000M1,R5",0.5,0.128368,-956539.027,1.191553,3.361585,0.489318,1.13175,4.147993,1
"1000M1,R10",0.9,0.279233,-954669.4716,1.24119,3.43622,0.499759,1.1957,4.409746,1
"1000M1,R5",0.8,0.143517,-956538.6855,1.202943,3.405079,0.496871,1.147577,4.19225,1
"1000M1,R5",0.9,0.128136,-956569.9944,1.188192,3.369559,0.491521,1.135949,4.159458,1
